codigo,marca,nombre
ADPU00000001,SAMSON,ADH PLU HUASO - QR (17 - 21) SAMSON POLIPROPILENO
ADPU00000002,SAMSON,ADH PLU LUCILA - QR (17 - 21) SAMSON POLIPROPILENO
ADPU00000004,SINCLAIR,ADH PLU HUASO - QR (30-23) SINCLAIR
ADPU30350006,SINCLAIR,ADH PLU 3035 NECTARIN WHITE FLESH DB
ADPU30350007,SAMSON,ADH PLU 3035 NECTARIN WHITE FLESH DB SAMSON
ADPU36090008,SINCLAIR,ADH PLU 3609 PLUMCOT ROJO
ADPU36090009,SAMSON,ADH PLU 3609 PLUMCOT ROJO SAMSON
ADPU36110010,SINCLAIR,ADH PLU 3611 PLUMCOT NEGRO
ADPU36110011,SAMSON,ADH PLU 3611 PLUMCOT NEGRO SAMSON
ADPU40360012,SINCLAIR,ADH PLU 4036 NECT. AMARILLO CONVEN. (DT-BILINGUE)
ADPU40360013,SAMSON,ADH PLU 4036 NECTARIN DB SAMSON
ADPU40380014,SINCLAIR,ADH PLU 4038 DUR. AMAR CONVEN. (DB-BILINGUE)
ADPU40380015,SAMSON,ADH PLU 4038 PEACHES DB SAMSON
ADPU40400016,SINCLAIR,ADH PLU 4040 PLUMS DB (NEGRA)
ADPU40400017,SAMSON,ADH PLU 4040 PLUMS DB (NEGRA) - SAMSON
ADPU40420018,SINCLAIR,ADH PLU 4042 PLUMS DB (ROJO)
ADPU40420019,SAMSON,ADH PLU 4042 PLUMS DB (ROJO) - SAMSON
ADPU40440020,SAMSON,ADH PLU 4044 DUR. AMAR TREE RIPE (DB-BILINGUE) SAM
ADPU40440021,SINCLAIR,ADH PLU 4044 DUR. AMAR TREE RIPE (DB-BILINGUE)
ADPU43780022,SAMSON,ADH PLU 4378 NEC. AMAR TREE RIPE (DB-BILINGUE) SAM
ADPU43780023,SINCLAIR,ADH PLU 4378 NEC. AMAR TREE RIPE (DB-BILINGUE)
ADPU44010024,SINCLAIR,ADH PLU 4401 PEACHES WHITE FLESH DB
ADPU44010025,SAMSON,ADH PLU 4401 PEACHES WHITE FLESH DB SAMSON
ADPU44420026,SINCLAIR,ADH PLU 4442 PLUMS YELLOW DB
