Codigo;Nombre Material;U/M;CONTEO PAÑOL;CONTEO PACKING;Unidades contadas;Observaciones
ADPU00000001;ADH PLU HUASO - QR (17 - 21) SAMSON POLIPROPILENO;UD;;;0;
ADPU00000002;ADH PLU LUCILA - QR (17 - 21) SAMSON POLIPROPILENO;UD;;;0;
ADPU00000004;ADH PLU HUASO - QR (30-23) SINCLAIR;UD;;;0;
ADPU30350006;ADH PLU 3035 NECTARIN WHITE FLESH DB;UD;;;0;
ADPU30350007;ADH PLU 3035 NECTARIN WHITE FLESH DB SAMSON;UD;;;0;
ADPU36090008;ADH PLU 3609 PLUMCOT ROJO;UD;;;0;
ADPU36090009;ADH PLU 3609 PLUMCOT ROJO SAMSON;UD;;;0;
ADPU36110010;ADH PLU 3611 PLUMCOT NEGRO;UD;;;0;
ADPU36110011;ADH PLU 3611 PLUMCOT NEGRO SAMSON;UD;;;0;
ADPU40360012;ADH PLU 4036 NECT. AMARILLO CONVEN. (DT-BILINGUE);UD;;;0;
ADPU40360013;ADH PLU 4036 NECTARIN DB SAMSON;UD;;;0;
ADPU40380014;ADH PLU 4038 DUR. AMAR CONVEN. (DB-BILINGUE);UD;;;0;
ADPU40380015;ADH PLU 4038 PEACHES DB SAMSON;UD;;;0;
ADPU40400016;ADH PLU 4040 PLUMS DB (NEGRA);UD;;;0;
ADPU40400017;ADH PLU 4040 PLUMS DB (NEGRA) - SAMSON;UD;;;0;
ADPU40420018;ADH PLU 4042 PLUMS DB (ROJO);UD;;;0;
ADPU40420019;ADH PLU 4042 PLUMS DB (ROJO) - SAMSON;UD;;;0;
ADPU40440020;ADH PLU 4044 DUR. AMAR TREE RIPE (DB-BILINGUE) SAM;UD;;;0;
ADPU40440021;ADH PLU 4044 DUR. AMAR TREE RIPE (DB-BILINGUE);UD;;;0;
ADPU43780022;ADH PLU 4378 NEC. AMAR TREE RIPE (DB-BILINGUE) SAM;UD;;;0;
ADPU43780023;ADH PLU 4378 NEC. AMAR TREE RIPE (DB-BILINGUE);UD;;;0;
ADPU44010024;ADH PLU 4401 PEACHES WHITE FLESH DB;UD;;;0;
ADPU44010025;ADH PLU 4401 PEACHES WHITE FLESH DB SAMSON;UD;;;0;
ADPU44420026;ADH PLU 4442 PLUMS YELLOW DB;UD;;;0;
;;;;;;
;;;;TOTAL GENERAL:;0;
